views,likes,disklikes,titles
278,5,0,FilePaths: File System Abstractions and Why We Need Them
371,9,0,Soss.jl: Probabilistic Metaprogramming in Julia
248,10,1,A General-Purpose Toolbox for Efficient Kronecker-Based Learning
293,12,1,Generating Documentation: Under the Hood of Documenter.jl
276,12,0,SIMD and Cache-Aware Sorting with ChipSort.jl
236,9,0,Array Data Distribution with ArrayChannels.jl
355,7,0,If Runtime isn't Funtime: Controlling Compile-time Execution
257,9,0,Sponsor Address: Julia Computing
328,9,0,Keynote: Dr. Steven Lee
488,16,0,Analyzing and updating code with JuliaInterpreter and Revise
254,8,0,Heterogeneous Agent DSGE Models in Julia at the Federal Reserve Bank of New York
298,5,0,Julia web servers deployment
245,9,0,Machine Learning for Social Good
321,5,0,Building a Debugger with Cassette
247,11,0,"Yao.jl: Extensible, Efficient Quantum Algorithm Design for Humans"
229,2,0,Targeting Accelerators with MLIR.jl
243,4,0,Solving Delay Differential Equations with Julia
220,9,0,"OmniSci.jl: Bringing the open-source, GPU-accelerated relational database to Julia"
219,6,0,Recommendation.jl: Building Recommender Systems in Julia
217,6,0,"DataKnots.jl - an extensible, practical and coherent algebra of query combinators"
193,6,0,Analyzing Social Networks with SimpleHypergraphs.jl
214,2,0,Counting On Floating Point
233,10,0,Towards Faster Sorting and Group-by operations
248,5,0,Differential Programming Tensor Networks
206,5,0,Generic Sparse Data Structures on GPUs
201,7,0,Guaranteed Constrained and Unconstrained Global Optimisation in Julia
205,9,0,Brain Tumour Classification with Julia
209,11,0,Probabilistic Biostatistics: Adventures with Julia from Code to Clinic
321,6,1,The Climate Machine: A New Earth System Model in Julia
193,6,0,The Linguistics of Puzzles: Solving Cryptic Crosswords in Julia
170,4,0,Sponsor Address: Relational AI
202,5,0,"Slow images, fast numbers: Using Julia in biomedical imaging and beyond"
284,2,0,Static walks through dynamic programs -- a conversation with type-inference.
286,13,0,Gaussian Process Probabilistic Programming with Stheno.jl
253,6,0,Simulation and Estimation of Nonlinear Mixed Effects Models with PuMaS.jl
196,8,0,TrajectoryOptimization.jl: A Testbed for Optimization-Based Robotic Motion Planning
229,6,0,"GigaSOM.jl: Huge-scale, high-performance cytometry clustering in Julia"
192,7,0,“Online” Estimation of Macroeconomic Models
178,9,1,Let's Play Hanabi!
167,5,0,Non-Gaussian State-Estimation with JuliaRobotics/Caesar.jl
148,2,0,Computational topology and Boolean operations with Julia sparse arrays
131,1,1,Julia for Battery Model Parameter Estimation
216,5,0,Electrifying Transportation with Julia
328,9,0,TimerOutputs.jl - a cheap and cheerful instrumenting profiler
112,1,0,Open Source Power System Production Cost Modeling in Julia
148,9,0,A case study of migrating Timelineapp.co to the Julia language
163,3,0,Concolic Fuzzing -- Or how to run a theorem prover on your Julia code
126,2,0,Implicit Geometry with Multi-Dimensional Bisection Method
109,6,0,JuliaCN: A Community Driven Localization Group for Julia in China
133,3,0,Mimi.jl – Next Generation Climate Economics Modeling
77,2,0,Sponsor Address: University of Maryland
257,9,0,Transducers: data-oriented abstraction for sequential and parallel algorithms on containers
338,6,0,The Julia Language Ephemeris and Physical Constants Reader for Solar System Bodies
185,5,0,MendelIHT.jl: Generalized Linear Models for High Dimensional Genetics (GWAS) Data
116,6,0,IVIVC.jl: In vitro - In vivo correlation module for pharmaceutical modeling in Pumas
